iter	Passed	Remaining
0	149	149445
1	151	75716
2	154	51208
3	156	38920
4	158	31451
5	159	26465
6	161	22899
7	163	20220
8	164	18106
9	165	16395
10	166	14999
11	168	13874
12	170	12912
13	171	12071
14	172	11360
15	174	10748
16	175	10161
17	177	9666
18	178	9224
19	180	8830
20	181	8473
21	183	8144
22	184	7847
23	186	7573
24	187	7329
25	189	7087
26	190	6879
27	192	6692
28	193	6485
29	194	6291
30	195	6125
31	197	5970
32	198	5808
33	199	5656
34	199	5512
35	201	5389
36	202	5279
37	203	5155
38	204	5038
39	205	4927
40	206	4819
41	207	4730
42	208	4643
43	209	4557
44	210	4475
45	211	4395
46	213	4319
47	214	4247
48	215	4177
49	216	4109
50	217	4047
51	218	3984
52	219	3924
53	220	3865
54	221	3807
55	222	3751
56	223	3697
57	224	3645
58	225	3592
59	226	3542
60	226	3493
61	227	3445
62	228	3399
63	229	3353
64	230	3309
65	231	3270
66	231	3228
67	232	3182
68	232	3142
69	233	3105
70	234	3068
71	235	3030
72	235	2994
73	236	2957
74	236	2922
75	237	2889
76	238	2857
77	239	2825
78	239	2794
79	240	2762
80	240	2732
81	241	2704
82	242	2674
83	242	2645
84	242	2614
85	243	2587
86	243	2557
87	244	2530
88	244	2504
89	245	2479
90	245	2454
91	246	2430
92	246	2405
93	247	2382
94	247	2359
95	248	2336
96	248	2314
97	249	2292
98	249	2271
99	250	2250
100	250	2229
101	250	2207
102	251	2187
103	251	2167
104	252	2148
105	252	2130
106	253	2111
107	253	2093
108	254	2076
109	254	2059
110	254	2041
111	255	2025
112	255	2008
113	256	1992
114	256	1976
115	257	1959
116	257	1944
117	258	1929
118	258	1913
119	259	1899
120	259	1885
121	260	1871
122	260	1855
123	260	1842
124	261	1828
125	261	1815
126	262	1802
127	262	1787
128	262	1775
129	263	1763
130	264	1752
131	264	1740
132	265	1728
133	265	1717
134	266	1707
135	267	1697
136	267	1687
137	268	1676
138	269	1666
139	269	1656
140	270	1647
141	270	1637
142	271	1627
143	272	1617
144	272	1607
145	273	1598
146	273	1589
147	274	1581
148	275	1573
149	276	1564
150	276	1556
151	277	1547
152	278	1539
153	278	1531
154	279	1523
155	280	1515
156	280	1507
157	281	1500
158	282	1492
159	282	1484
160	283	1476
161	283	1468
162	284	1460
163	285	1453
164	285	1445
165	286	1437
166	286	1430
167	287	1422
168	287	1415
169	288	1409
170	289	1402
171	290	1396
172	290	1389
173	291	1383
174	292	1377
175	292	1370
176	293	1364
177	294	1357
178	294	1351
179	295	1344
180	295	1337
181	296	1330
182	296	1324
183	297	1317
184	297	1311
185	298	1304
186	298	1299
187	299	1292
188	299	1286
189	300	1280
190	301	1275
191	301	1269
192	302	1264
193	302	1258
194	303	1253
195	304	1247
196	304	1242
197	305	1236
198	305	1231
199	306	1225
200	306	1220
201	307	1214
202	308	1209
203	308	1204
204	309	1199
205	309	1194
206	310	1189
207	311	1184
208	311	1179
209	312	1174
210	312	1169
211	313	1164
212	313	1160
213	314	1155
214	315	1150
215	315	1145
216	316	1141
217	317	1137
218	317	1132
219	318	1128
220	318	1123
221	319	1118
222	319	1114
223	320	1110
224	320	1105
225	321	1101
226	322	1096
227	322	1092
228	323	1088
229	323	1084
230	324	1080
231	325	1076
232	325	1072
233	326	1068
234	327	1064
235	327	1060
236	328	1056
237	328	1052
238	329	1048
239	329	1044
240	330	1041
241	331	1037
242	331	1034
243	332	1030
244	333	1026
245	333	1023
246	334	1019
247	335	1016
248	335	1012
249	336	1008
250	336	1005
251	337	1001
252	338	998
253	338	994
254	339	991
255	339	987
256	340	984
257	340	980
258	341	977
259	342	973
260	342	970
261	343	967
262	343	963
263	344	960
264	345	956
265	345	954
266	346	950
267	347	948
268	347	945
269	348	941
270	349	939
271	349	936
272	350	933
273	351	930
274	351	927
275	352	924
276	353	921
277	353	918
278	354	915
279	354	912
280	355	909
281	355	906
282	356	903
283	357	900
284	357	897
285	358	894
286	358	891
287	359	888
288	359	885
289	360	882
290	361	880
291	361	877
292	362	874
293	363	871
294	363	869
295	364	866
296	364	863
297	365	860
298	365	858
299	366	855
300	367	852
301	367	849
302	368	847
303	368	844
304	369	841
305	370	839
306	370	837
307	371	834
308	372	832
309	372	829
310	373	827
311	374	825
312	374	822
313	375	820
314	376	817
315	376	815
316	377	813
317	378	810
318	378	808
319	379	805
320	379	803
321	380	801
322	381	798
323	381	796
324	382	794
325	382	791
326	383	789
327	384	786
328	384	784
329	385	782
330	385	779
331	386	777
332	386	775
333	387	772
334	388	770
335	388	768
336	389	765
337	389	763
338	390	761
339	391	759
340	391	757
341	392	755
342	393	753
343	393	750
344	394	748
345	395	746
346	395	744
347	396	742
348	396	740
349	397	738
350	398	736
351	398	733
352	399	731
353	399	729
354	400	727
355	400	725
356	401	723
357	402	721
358	402	719
359	403	717
360	403	714
361	404	712
362	405	710
363	405	708
364	406	706
365	406	704
366	407	702
367	407	700
368	408	698
369	409	696
370	409	694
371	410	692
372	410	690
373	411	688
374	412	686
375	412	684
376	413	682
377	413	680
378	414	678
379	414	676
380	415	674
381	415	672
382	416	671
383	417	669
384	417	667
385	418	665
386	419	663
387	420	663
388	421	661
389	422	660
390	422	658
391	423	656
392	424	654
393	424	653
394	425	651
395	426	649
396	426	648
397	427	646
398	427	644
399	428	642
400	429	641
401	429	639
402	430	637
403	430	635
404	431	633
405	432	632
406	432	630
407	433	629
408	434	627
409	434	625
410	435	624
411	436	622
412	436	620
413	437	619
414	438	617
415	438	615
416	439	614
417	439	612
418	440	610
419	441	609
420	441	607
421	442	605
422	442	603
423	443	602
424	443	600
425	444	598
426	445	597
427	445	595
428	446	593
429	446	592
430	447	590
431	448	589
432	448	587
433	449	586
434	449	584
435	450	582
436	451	581
437	451	579
438	452	577
439	452	576
440	453	574
441	453	573
442	454	571
443	455	569
444	455	568
445	456	566
446	456	565
447	457	563
448	458	562
449	458	560
450	459	558
451	459	557
452	460	555
453	460	554
454	461	552
455	462	551
456	462	549
457	463	548
458	464	546
459	464	545
460	465	543
461	465	542
462	466	541
463	467	539
464	467	538
465	468	536
466	468	535
467	469	533
468	470	532
469	470	530
470	471	529
471	471	527
472	472	526
473	473	524
474	473	523
475	474	522
476	474	520
477	475	519
478	476	518
479	477	516
480	477	515
481	478	514
482	479	512
483	479	511
484	480	510
485	481	509
486	482	507
487	482	506
488	483	505
489	484	503
490	484	502
491	485	501
492	486	499
493	486	498
494	487	497
495	487	495
496	488	494
497	489	493
498	489	491
499	490	490
500	491	489
501	491	487
502	492	486
503	493	485
504	494	484
505	494	482
506	495	481
507	496	480
508	496	479
509	497	477
510	498	476
511	498	475
512	499	474
513	500	472
514	500	471
515	501	470
516	501	468
517	502	467
518	503	466
519	503	464
520	504	463
521	504	462
522	505	461
523	506	460
524	507	458
525	507	457
526	508	456
527	509	455
528	509	453
529	510	452
530	511	451
531	512	450
532	512	449
533	513	448
534	514	446
535	514	445
536	515	444
537	516	443
538	516	441
539	517	440
540	518	439
541	518	438
542	519	437
543	520	436
544	520	434
545	521	433
546	521	432
547	522	430
548	523	429
549	523	428
550	524	427
551	524	426
552	525	424
553	526	423
554	526	422
555	527	421
556	527	419
557	528	418
558	529	417
559	529	416
560	530	414
561	530	413
562	531	412
563	532	411
564	532	410
565	533	409
566	534	408
567	535	406
568	535	405
569	536	404
570	537	403
571	537	402
572	538	401
573	539	400
574	539	399
575	540	397
576	541	396
577	541	395
578	542	394
579	542	393
580	543	392
581	544	390
582	544	389
583	545	388
584	546	387
585	546	386
586	547	385
587	548	384
588	548	382
589	549	382
590	550	380
591	551	379
592	551	378
593	552	377
594	553	376
595	553	375
596	554	374
597	555	373
598	555	371
599	556	370
600	556	369
601	557	368
602	558	367
603	558	366
604	559	365
605	559	363
606	560	362
607	561	361
608	561	360
609	562	359
610	563	358
611	563	357
612	564	356
613	565	355
614	566	354
615	566	353
616	567	352
617	568	351
618	568	350
619	569	349
620	570	347
621	570	346
622	571	345
623	572	344
624	572	343
625	573	342
626	573	341
627	574	340
628	574	339
629	575	338
630	576	336
631	576	335
632	577	334
633	578	333
634	578	332
635	579	331
636	579	330
637	580	329
638	581	328
639	581	327
640	582	326
641	582	325
642	583	323
643	584	322
644	584	321
645	585	320
646	585	319
647	586	318
648	587	317
649	587	316
650	588	315
651	588	314
652	589	313
653	590	312
654	590	311
655	591	310
656	592	309
657	592	308
658	593	307
659	593	305
660	594	304
661	595	303
662	595	302
663	596	301
664	596	300
665	597	299
666	598	298
667	598	297
668	599	296
669	599	295
670	600	294
671	601	293
672	601	292
673	602	291
674	602	290
675	603	289
676	603	288
677	604	287
