iter	Passed	Remaining
0	131	131469
1	133	66447
2	135	44883
3	136	33949
4	137	27368
5	138	22959
6	139	19789
7	140	17448
8	141	15620
9	142	14139
10	143	12923
11	144	11915
12	145	11067
13	146	10340
14	148	9721
15	149	9177
16	150	8703
17	151	8260
18	152	7875
19	153	7530
20	154	7220
21	155	6924
22	156	6655
23	157	6405
24	158	6177
25	159	5968
26	160	5773
27	161	5595
28	162	5425
29	162	5267
30	164	5128
31	165	4991
32	165	4862
33	166	4741
34	167	4631
35	169	4527
36	170	4425
37	170	4328
38	171	4236
39	172	4146
40	173	4061
41	174	3981
42	175	3904
43	176	3831
44	177	3761
45	178	3693
46	178	3629
47	179	3569
48	181	3513
49	182	3458
50	183	3405
51	183	3352
52	184	3303
53	185	3253
54	186	3206
55	187	3161
56	188	3117
57	189	3072
58	190	3031
59	191	2993
60	191	2953
61	192	2916
62	193	2881
63	194	2851
64	196	2820
65	197	2788
66	197	2755
67	198	2724
68	199	2693
69	200	2663
70	201	2635
71	202	2607
72	203	2580
73	204	2554
74	204	2528
75	206	2504
76	206	2479
77	207	2455
78	208	2433
79	209	2410
80	210	2389
81	211	2368
82	211	2341
83	212	2320
84	213	2301
85	214	2283
86	215	2264
87	216	2245
88	217	2226
89	218	2211
90	219	2193
91	220	2176
92	221	2160
93	222	2145
94	223	2129
95	224	2114
96	225	2099
97	226	2084
98	227	2069
99	228	2054
100	229	2039
101	230	2025
102	230	2011
103	231	1997
104	232	1984
105	233	1970
106	234	1958
107	235	1947
108	237	1937
109	238	1926
110	239	1915
111	240	1904
112	241	1893
113	242	1882
114	243	1871
115	244	1860
116	244	1848
117	245	1837
118	246	1827
119	247	1818
120	248	1808
121	249	1797
122	250	1787
123	251	1777
124	252	1767
125	253	1758
126	254	1747
127	255	1739
128	256	1732
129	257	1722
130	258	1712
131	259	1704
132	260	1695
133	261	1687
134	262	1678
135	262	1670
136	264	1663
137	264	1654
138	266	1647
139	267	1640
140	268	1634
141	269	1626
142	270	1619
143	271	1613
144	272	1606
145	273	1599
146	274	1593
147	275	1585
148	276	1578
149	277	1571
150	278	1565
151	279	1558
152	280	1551
153	281	1544
154	281	1537
155	282	1530
156	283	1523
157	284	1516
158	285	1510
159	286	1504
160	287	1497
